asrt	researchStatementLabel	assertType	objectURI	valueURI	label	homepage	source	dateAnnotated	whoAnnotated	evidence	evidenceRole	evidenceSource	evidenceType	evidenceStatement
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/1	R-citalopram_substrate_of_cyp2d6	substrate_of		http://purl.obolibrary.org/obo/PR_000006121		http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/R-citalopram_substrate_of_cyp2d6.html	DIKB	"06/12/2009 19:20:37
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/1	support	http://www.ncbi.nlm.nih.gov/pubmed/11454728	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_EX_Met_Enz_ID_Cyp450_Hum_Microsome_Chem	"
Enzyme system: human liver microsomes

NADPH added: yes (a dehydrogenase generating system)

reaction: R- and S-citalopram --&gt; R- and S- demethylcitalopram

Quote:

Chemical Inhibition of CT and DCT Biotransformation in
Microsomes. At 10micM R- or S-CT, ketoconazole reduced reaction velocity to 55 to 60% of control, quinidine to 80% of control, and omeprazole to 80 to 85% of control (Fig. 6). When the R- and S-CT concentration was increased to 100 M, the degree of inhibition by
ketoconazole increased, while inhibition by quinidine decreased (Fig. 6). These findings are consistent with the data from heterologously expressed CYP isoforms.
"
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/7	ziprasidone_substrate_of_cyp2c19	substrate_of	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00246	http://purl.obolibrary.org/obo/PR_000006118		http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/ziprasidone_substrate_of_cyp2c19.html	DIKB							
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/9	desacetyldiltiazem_substrate_of_cyp2d6	substrate_of	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Metabolite/71	http://purl.obolibrary.org/obo/PR_000006121		http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/desacetyldiltiazem_substrate_of_cyp2d6.html	DIKB	"08/09/2007 07:08:28
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/10	support	http://www.ncbi.nlm.nih.gov/pubmed/12235455	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_CT_PK_Genotype	"Route of administration: oral

polymorphic enzyme: yes

study duration: single 120mg oral dose of diltiazem with 24 hours of plasma level monitoring

population: 15 individuals; 5 for each genetically based phenotype. Study does not state gender of participants

ages: 20-30

description: 
The aim of this study was to compare the pharmacokinetics of diltiazem and its major metabolites in healthy human volunteers representing different CYP2D6 genotypes. METHODS: Norwegians of Caucasian origin were screened for their CYP2D6 genotype on the LightCycler (Roche Diagnostics, Mannheim, Germany) by melting-curve analysis of allele-specific fluorescence resonance energy transfer probes hybridized to polymerase chain reaction-amplified deoxyribonucleic acid. The first 5 individuals identified with genotypes corresponding to a homozygous extensive, heterozygous extensive, or homozygous poor CYP2D6-metabolizing phenotype, respectively, were voluntarily enrolled in the pharmacokinetic study. The participants received diltiazem, 120 mg, as a single oral dose, and plasma samples were collected up to 24 hours after administration. Plasma samples were purified by solid phase extraction. Diltiazem and 7 phase I metabolites were analyzed by liquid chromatography-mass spectrometry. RESULTS: The pharmacokinetics of diltiazem was not significantly different between the subgroups. However, the systemic exposure of the pharmacologically active metabolites desacetyl diltiazem and N-demethyldesacetyl diltiazem was &gt; or = 5 times higher in poor CYP2D6 metabolizers than in extensive CYP2D6 metabolizers (P &lt;.01). CONCLUSIONS: CYP2D6 activity does not have a major impact on the disposition of diltiazem. In contrast, desacetyl diltiazem and N-demethyldesacetyl diltiazem are markedly accumulated in individuals expressing a deficient CYP2D6 phenotype. Because these metabolites exhibit pharmacologic properties of possible importance, individual CYP2D6 activity might be an aspect to consider in the clinical use of diltiazem."
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/34	clarithromycin_substrate_of_cyp2c9	substrate_of	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01211	http://purl.obolibrary.org/obo/PR_000006120		http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/clarithromycin_substrate_of_cyp2c9.html	DIKB							
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/36	simvastatin_substrate_of_cyp3a4	substrate_of	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00641	http://purl.obolibrary.org/obo/PR_000006130		http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/simvastatin_substrate_of_cyp3a4.html	DIKB	"05/16/2007 15:02:11
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/45	support	http://www.ncbi.nlm.nih.gov/pubmed/9542477	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_RCT	"
Route of administration: oral

polymorphic enzyme: NO

study duration: 4 days

population: 7 male, 3 female

ages:19-29

description:
Two randomized, double-blind, two-phase crossover studies were performed with use of an identical design, one with simvastatin (study I) and one with pravastatin (study II). In both studies, 10 healthy volunteers received either 200 mg itraconazole or placebo orally once a day for 4 days. On day 4, each subject ingested a single 40 mg dose of simvastatin (study I) or pravastatin (study II). Serum concentrations of simvastatin, simvastatin acid, pravastatin, HMG-CoA reductase inhibitors, itraconazole, and hydroxyitraconazole were determined. RESULTS: In study I, itraconazole increased the peak serum concentrations (Cmax) and the areas under the serum concentration-time curve [AUC(0-infinity)] of simvastatin and simvastatin acid at least tenfold (p < 0.001)."
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/36	simvastatin_substrate_of_cyp3a4	substrate_of	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00641	http://purl.obolibrary.org/obo/PR_000006130		http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/simvastatin_substrate_of_cyp3a4.html	DIKB	"05/29/2007 14:58:01
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/46	support	http://www.ncbi.nlm.nih.gov/pubmed/9321523	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_EX_Met_Enz_ID_Cyp450_Hum_Recom	"
Enzyme system: recombinant human enzymes in Supersomes

NADPH added: yes

inhibitor used: no

This study showed the formation of 3',5'-dihydrodiol, 3'-hydroxy, and 6'-exomethylene metabolites using a recombinant CYP3A4 system
"
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/36	simvastatin_substrate_of_cyp3a4	substrate_of	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00641	http://purl.obolibrary.org/obo/PR_000006130		http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/simvastatin_substrate_of_cyp3a4.html	DIKB	"05/29/2007 15:23:02
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/47	support	http://www.ncbi.nlm.nih.gov/pubmed/15518608	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_PK_DDI_Par_Grps	"Route of administration: oral

polymorphic enzyme: NO

study duration: 7 days simvastatin only, 8 days simva and clarithromycin

dose: .040g simvastatin 1xday
      .5g clarithromycin 2xday

population: 45 men and women (15 received simvastatin)

ages:18-60 

(mean AUC_i)/(mean AUC) = 219/22 

description: Clarithromycin significantly (p <0.001) increased the AUC (and C(max)) of all 3 statins, most markedly simvastatin ( approximately 10-fold increase in AUC)
"
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/39	nefazodone_substrate_of_cyp2d6	substrate_of	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01149	http://purl.obolibrary.org/obo/PR_000006121		http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/nefazodone_substrate_of_cyp2d6.html	DIKB							
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/42	desvenlafaxine_substrate_of_cyp2d6	substrate_of		http://purl.obolibrary.org/obo/PR_000006121		http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/desvenlafaxine_substrate_of_cyp2d6.html	DIKB							
https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Assertions/47	atorvastatin_substrate_of_cyp3a5	substrate_of	http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01076	http://purl.obolibrary.org/obo/PR_000006132		http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/atorvastatin_substrate_of_cyp3a5.html	DIKB	"09/25/2007 07:59:50
"	boycer	https://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/Evidence/64	support	http://www.ncbi.nlm.nih.gov/pubmed/11038166	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#EV_EX_Met_Enz_ID_Cyp450_Hum_Microsome_Chem	"
Enzyme system: human liver microsomes

NADPH added: yes
inhibitor used: itraconazole

reaction:
atorvastatin acid--&gt;ortho-hydroxy-atorvastatin
atorvastatin lactone--&gt;ortho-hydroxy-atorvastatin
atorvastatin acid--&gt;para-hydroxy-atorvastatin
atorvastatin lactone--&gt;para-hydroxy-atorvastatin

description:
itraconazole effected a dramatic decrease in the formation of both metabolites from both lactone and acid forms of atorvastatin"
