STAT-1.sparql|||||Time cost|Triples
inferred-dikb-mp-fold-1.xml|1|0.0370030403|||0.0185959339|11113
inferred-graph-oa-mp.xml|0|0.0185959339|||0.0370030403|22119
inferred-dikb-mp-fold-3.xml|3|0.0167620182|||0.0172290802|44131
inferred-dikb-mp-fold-2.xml|2|0.0172290802|||0.0167620182|88155
inferred-dikb-mp-fold-5.xml|5|0.016726017|||0.016726017|176203
inferred-dikb-mp-fold-4.xml|4|0.0163478851|||0.0163478851|352299
PK-1.sparql||||||
inferred-dikb-mp-fold-1.xml|1|0.0374429226||||
inferred-graph-oa-mp.xml|0|0.0290911198||||
inferred-dikb-mp-fold-3.xml|3|0.0986361504||||
inferred-dikb-mp-fold-2.xml|2|0.0636980534||||
inferred-dikb-mp-fold-5.xml|5|0.5216908455||||
inferred-dikb-mp-fold-4.xml|4|0.1761770248||||
find-assertion-where-methods-involve-drug-x.sparql||||||
inferred-dikb-mp-fold-1.xml|1|0.0196561813||||
inferred-graph-oa-mp.xml|0|0.0172240734||||
inferred-dikb-mp-fold-3.xml|3|0.0175538063||||
inferred-dikb-mp-fold-2.xml|2|0.0192418098||||
inferred-dikb-mp-fold-5.xml|5|0.0191709995||||
inferred-dikb-mp-fold-4.xml|4|0.0199029446||||
FA-03.sparql||||||
inferred-dikb-mp-fold-1.xml|1|0.0190608501||||
inferred-graph-oa-mp.xml|0|0.0174479485||||
inferred-dikb-mp-fold-3.xml|3|0.0231070518||||
inferred-dikb-mp-fold-2.xml|2|0.0201280117||||
inferred-dikb-mp-fold-5.xml|5|0.0443930626||||
inferred-dikb-mp-fold-4.xml|4|0.0475420952||||
find-evidence-uniquely-supporting-one-representation.sparql||||||
inferred-dikb-mp-fold-1.xml|1|0.8796598911||||
inferred-graph-oa-mp.xml|0|1.0330941677||||
inferred-dikb-mp-fold-3.xml|3|0.8814439774||||
inferred-dikb-mp-fold-2.xml|2|1.0685391426||||
inferred-dikb-mp-fold-5.xml|5|0.8851978779||||
inferred-dikb-mp-fold-4.xml|4|1.1157619953||||
FA-04.sparql|||||Time cost|Triples
inferred-dikb-mp-fold-1.xml|1|0.0470070839|||0.0281991959|11113
inferred-graph-oa-mp.xml|0|0.0281991959|||0.0470070839|22119
inferred-dikb-mp-fold-3.xml|3|0.3408889771|||0.1344349384|44131
inferred-dikb-mp-fold-2.xml|2|0.1344349384|||0.3408889771|88155
inferred-dikb-mp-fold-5.xml|5|0.5178368092|||0.456829071|176203
inferred-dikb-mp-fold-4.xml|4|0.456829071|||0.5178368092|352299
FA-01.sparql||||||
inferred-dikb-mp-fold-1.xml|1|0.0293140411||||
inferred-graph-oa-mp.xml|0|0.0199010372||||
inferred-dikb-mp-fold-3.xml|3|0.0400590897||||
inferred-dikb-mp-fold-2.xml|2|0.028012991||||
inferred-dikb-mp-fold-5.xml|5|0.147480011||||
inferred-dikb-mp-fold-4.xml|4|0.0714879036||||
FA-02.sparql||||||
inferred-dikb-mp-fold-1.xml|1|0.0220630169||||
inferred-graph-oa-mp.xml|0|0.0188670158||||
inferred-dikb-mp-fold-3.xml|3|0.0677759647||||
inferred-dikb-mp-fold-2.xml|2|0.0714828968||||
inferred-dikb-mp-fold-5.xml|5|0.2103469372||||
inferred-dikb-mp-fold-4.xml|4|0.1292579174||||
